Date/Time,Keywords,URL
14-Feb-19,Haryana Cabinet approves Delhi-Gurugram-SNB RRTS corridor,https://www.tribuneindia.com/news/haryana/haryana-cabinet-approves-delhi-gurugram-snb-rrts-corridor/728952.html
13-Feb-19,Haryana cabinet approves Delhi-Gurugram-SNB Corridor of RRTS,http://www.uniindia.com/haryana-cabinet-approves-delhi-gurugram-snb-corridor-of-rrts/north/news/1498570.html
14-Feb-19,Delhi-Gurugram-SNB RRT corridor gets nod from Haryana Cabinet,http://www.newindianexpress.com/nation/2019/feb/15/delhi-gurugram-snb-rrt-corridor-gets-nod-from-haryana-cabinet-1939124.html
15-Feb-19,Haryana Cabinet approves Delhi-Alwar Rapid Rail Transit Phase 1 ...,https://www.financialexpress.com/infrastructure/haryana-cabinet-approves-delhi-alwar-rapid-rail-transit-phase-1-corridor-travel-from-delhi-snb-in-70-minutes/1488927/
14-Feb-19,Haryana cabinet OKs Delhi-Ggn-SNB RRTS Corridor,http://www.millenniumpost.in/delhi/haryana-cabinet-oks-delhi-ggn-snb-rrts-corridor-340750
13-Feb-19,Haryana cabinet okays Economically Weaker Sections quota in ...,http://www.newindianexpress.com/nation/2019/feb/14/haryana-cabinet-okays-economically-weaker-sections-quota-in-govrnment-jobs-education-1938466.html
13-Feb-19,Slew of decisions by Hry Cabinet ahead of LS polls,https://www.dailypioneer.com/2019/state-editions/slew-of-decisions-by-hry-cabinet-ahead-of-ls-polls.html
11-Dec-18,NCRTC to start work of Delhi-Gurugram-SNB RRTS corridor from …,https://urbantransportnews.com/ncrtc-to-start-work-of-delhi-gurugram-snb-rrts-corridor-from-march-2019/
24-Dec-18,Tender floated for construction of Rapid Rail,https://www.dailypioneer.com/2018/state-editions/tender-floated-for-construction-of-rapid-rail.html
07-Dec-18,Delhi-Gurugram-SNB RRTS Corridor has been approved by ...,https://www.metrorailnews.in/delhi-gurugram-snb-rrts-corridor-approved-ncrtc-board/
